Bcoef_bits,PassRipple,StopAttn_dB,AccBits,ShiftBits,SumAbsCoeffInt
16,0.00514648850102584,67.9818307505594,33,15,71182
17,0.00488567013778463,69.5095652687108,34,16,142352
18,0.00482959806810168,74.0791026718114,35,17,284692
19,0.00479280065874277,77.0911364684881,36,18,569376
20,0.00478211199614798,78.2609305855622,37,19,1138752
21,0.00478391281169666,79.388200323963,38,20,2277508
22,0.00478304852495226,80.0461773766137,39,21,4555042
23,0.00478686786802474,80.0899553096069,40,22,9110052
24,0.00478395249168351,80.1107698842961,41,23,18220106
